               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11173,            0.044305,            0.081816,           0.0014625,             0.15048,           0.0035125,          0.00090965,            0.091167,            0.025499,            0.079113,            0.070625,           0.0032639,           0.0032639
                   1,            0.089668,            0.050439,            0.073965,             0.78125,            0.036659,            0.034986,            0.010214,             0.07478,            0.026044,            0.066875,            0.040543,           0.0065156,           0.0065156
                   2,            0.075918,            0.048043,            0.064726,             0.87388,            0.057256,            0.026306,            0.010346,            0.075703,            0.028716,            0.058727,            0.010379,           0.0096848,           0.0096848
                   3,            0.074255,            0.047115,            0.056253,           0.0085028,             0.37891,            0.071617,            0.033352,            0.074542,            0.031407,            0.054731,           0.0096288,           0.0096288,           0.0096288
                   4,            0.069439,            0.043533,            0.055871,             0.63193,             0.11206,             0.10299,            0.056028,            0.059419,            0.025565,            0.053326,           0.0096288,           0.0096288,           0.0096288
                   5,            0.066015,            0.049274,            0.049922,             0.88808,             0.10519,            0.089961,            0.043326,            0.063244,            0.024282,            0.050587,            0.009505,            0.009505,            0.009505
                   6,             0.06467,            0.043995,             0.04949,             0.86495,            0.064953,            0.067194,             0.02902,            0.061001,            0.022111,            0.049474,           0.0093813,           0.0093813,           0.0093813
                   7,            0.060213,            0.043571,            0.049919,             0.73552,             0.12917,            0.098017,            0.044159,            0.055413,             0.02303,            0.048519,           0.0092575,           0.0092575,           0.0092575
                   8,            0.059904,            0.047098,            0.046884,             0.78256,             0.12989,             0.14881,            0.069112,            0.060109,            0.023992,            0.046008,           0.0091337,           0.0091337,           0.0091337
                   9,            0.056785,            0.044815,            0.047128,             0.81398,              0.1144,              0.1448,            0.062334,            0.054074,             0.02104,            0.044095,             0.00901,             0.00901,             0.00901
                  10,            0.054448,              0.0418,            0.043322,             0.80198,             0.13318,             0.22146,             0.13061,            0.051901,            0.021537,            0.042805,           0.0088863,           0.0088863,           0.0088863
